Gene Symbol,Description,Category,Uniprot ID,Gifts,GC Id,Relevance score, GeneCards Link
"MCL1","MCL1 Apoptosis Regulator, BCL2 Family Member","Protein Coding","Q07820","62","GC01M168398","1.69764471054077","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MCL1"
"PIK3R2","Phosphoinositide-3-Kinase Regulatory Subunit 2","Protein Coding","O00459","62","GC19P018153","1.69764471054077","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PIK3R2"
"LEP","Leptin","Protein Coding","P41159","59","GC07P128241","1.69764471054077","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LEP"
"PIM2","Pim-2 Proto-Oncogene, Serine/Threonine Kinase","Protein Coding","Q9P1W9","58","GC0XM048913","1.69764471054077","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PIM2"
"IL10RA","Interleukin 10 Receptor Subunit Alpha","Protein Coding","Q13651","57","GC11P128257","1.69764471054077","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL10RA"
"INHBA","Inhibin Subunit Beta A","Protein Coding","P08476","57","GC07M041670","1.69764471054077","https://www.genecards.org/cgi-bin/carddisp.pl?gene=INHBA"
"CHMP2B","Charged Multivesicular Body Protein 2B","Protein Coding","Q9UQN3","56","GC03P087227","1.69764471054077","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHMP2B"
"ENDOG","Endonuclease G","Protein Coding","Q14249","56","GC09P128818","1.69764471054077","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ENDOG"
"IFNB1","Interferon Beta 1","Protein Coding","P01574","56","GC09M021077","1.69764471054077","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFNB1"
"NOD1","Nucleotide Binding Oligomerization Domain Containing 1","Protein Coding","Q9Y239","56","GC07M030424","1.69764471054077","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NOD1"
"DAPK3","Death Associated Protein Kinase 3","Protein Coding","O43293","55","GC19M003958","1.69764471054077","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DAPK3"
"RAB1A","RAB1A, Member RAS Oncogene Family","Protein Coding","P62820","55","GC02M065123","1.69764471054077","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAB1A"
"VAMP8","Vesicle Associated Membrane Protein 8","Protein Coding","Q9BV40","55","GC02P085561","1.69764471054077","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VAMP8"
"CHMP4B","Charged Multivesicular Body Protein 4B","Protein Coding","Q9H444","54","GC20P055740","1.69764471054077","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHMP4B"
"RRAGC","Ras Related GTP Binding C","Protein Coding","Q9HB90","54","GC01M039051","1.69764471054077","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RRAGC"
"TAX1BP1","Tax1 Binding Protein 1","Protein Coding","Q86VP1","54","GC07P027739","1.69764471054077","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TAX1BP1"
"VPS11","VPS11 Core Subunit Of CORVET And HOPS Complexes","Protein Coding","Q9H270","54","GC11P119067","1.69764471054077","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VPS11"
"PLEKHM1","Pleckstrin Homology And RUN Domain Containing M1","Protein Coding","Q9Y4G2","53","GC17M101103","1.69764471054077","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLEKHM1"
"VPS41","VPS41 Subunit Of HOPS Complex","Protein Coding","P49754","53","GC07M039988","1.69764471054077","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VPS41"
"RRAGD","Ras Related GTP Binding D","Protein Coding","Q9NQL2","52","GC06M089364","1.69764471054077","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RRAGD"
"BOK","BCL2 Family Apoptosis Regulator BOK","Protein Coding","Q9UMX3","51","GC02P242745","1.69764471054077","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BOK"
"RRAGB","Ras Related GTP Binding B","Protein Coding","Q5VZM2","51","GC0XP055717","1.69764471054077","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RRAGB"
"BMF","Bcl2 Modifying Factor","Protein Coding","Q96LC9","50","GC15M040087","1.69764471054077","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BMF"
"CHMP2A","Charged Multivesicular Body Protein 2A","Protein Coding","O43633","50","GC19M058551","1.69764471054077","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHMP2A"
"CHMP3","Charged Multivesicular Body Protein 3","Protein Coding","Q9Y3E7","50","GC02M086505","1.69764471054077","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHMP3"
"EIF4G2","Eukaryotic Translation Initiation Factor 4 Gamma 2","Protein Coding","P78344","50","GC11M016173","1.69764471054077","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EIF4G2"
"RAB1B","RAB1B, Member RAS Oncogene Family","Protein Coding","Q9H0U4","50","GC11P115108","1.69764471054077","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAB1B"
"RRAGA","Ras Related GTP Binding A","Protein Coding","Q7L523","50","GC09P019049","1.69764471054077","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RRAGA"
"CREG1","Cellular Repressor Of E1A Stimulated Genes 1","Protein Coding","O75629","49","GC01M168941","1.69764471054077","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CREG1"
"VPS16","VPS16 Core Subunit Of CORVET And HOPS Complexes","Protein Coding","Q9H269","49","GC20P002840","1.69764471054077","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VPS16"
"CHMP6","Charged Multivesicular Body Protein 6","Protein Coding","Q96FZ7","48","GC17P080991","1.69764471054077","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHMP6"
"CHMP7","Charged Multivesicular Body Protein 7","Protein Coding","Q8WUX9","48","GC08P023243","1.69764471054077","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHMP7"
"CHMP4A","Charged Multivesicular Body Protein 4A","Protein Coding","Q9BY43","46","GC14M029286","1.69764471054077","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHMP4A"
"CHMP4C","Charged Multivesicular Body Protein 4C","Protein Coding","Q96CF2","46","GC08P081732","1.69764471054077","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHMP4C"
"RAB39A","RAB39A, Member RAS Oncogene Family","Protein Coding","Q14964","44","GC11P107928","1.69764471054077","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAB39A"
"EI24","EI24 Autophagy Associated Transmembrane Protein","Protein Coding","O14681","42","GC11P128793","1.69764471054077","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EI24"
"RBX1","Ring-Box 1","Protein Coding","P62877","56","GC22P040951","1.60238981246948","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RBX1"
"EPAS1","Endothelial PAS Domain Protein 1","Protein Coding","Q99814","63","GC02P046293","1.53426897525787","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EPAS1"
"TUBB3","Tubulin Beta 3 Class III","Protein Coding","Q13509","63","GC16P130848","1.53426897525787","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TUBB3"
"TUBA1A","Tubulin Alpha 1a","Protein Coding","Q71U36","62","GC12M049184","1.53426897525787","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TUBA1A"
"MITF","Melanocyte Inducing Transcription Factor","Protein Coding","O75030","61","GC03P069740","1.53426897525787","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MITF"
"HSF1","Heat Shock Transcription Factor 1","Protein Coding","Q00613","60","GC08P144291","1.53426897525787","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSF1"
"TUBA4A","Tubulin Alpha 4a","Protein Coding","P68366","60","GC02M219249","1.53426897525787","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TUBA4A"
"TUBB1","Tubulin Beta 1 Class VI","Protein Coding","Q9H4B7","59","GC20P059118","1.53426897525787","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TUBB1"
"TUBB2A","Tubulin Beta 2A Class IIa","Protein Coding","Q13885","59","GC06M003153","1.53426897525787","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TUBB2A"
"TUBB4A","Tubulin Beta 4A Class IVa","Protein Coding","P04350","59","GC19M111727","1.53426897525787","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TUBB4A"
"HBB","Hemoglobin Subunit Beta","Protein Coding","P68871","58","GC11M015976","1.53426897525787","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HBB"
"DYNC1H1","Dynein Cytoplasmic 1 Heavy Chain 1","Protein Coding","Q14204","57","GC14P121532","1.53426897525787","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DYNC1H1"
"TUBA1B","Tubulin Alpha 1b","Protein Coding","P68363","57","GC12M049127","1.53426897525787","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TUBA1B"
"TUBA8","Tubulin Alpha 8","Protein Coding","Q9NY65","57","GC22P018110","1.53426897525787","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TUBA8"
"TUBB4B","Tubulin Beta 4B Class IVb","Protein Coding","P68371","57","GC09P137241","1.53426897525787","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TUBB4B"
"PEX5","Peroxisomal Biogenesis Factor 5","Protein Coding","P50542","56","GC12P080305","1.53426897525787","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PEX5"
"TUBB2B","Tubulin Beta 2B Class IIb","Protein Coding","Q9BVA1","56","GC06M004303","1.53426897525787","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TUBB2B"
"RNASE1","Ribonuclease A Family Member 1, Pancreatic","Protein Coding","P07998","55","GC14M020801","1.53426897525787","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RNASE1"
"TUBA1C","Tubulin Alpha 1c","Protein Coding","Q9BQE3","55","GC12P049188","1.53426897525787","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TUBA1C"
"TUBB6","Tubulin Beta 6 Class V","Protein Coding","Q9BUF5","55","GC18P012307","1.53426897525787","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TUBB6"
"DYNLL1","Dynein Light Chain LC8-Type 1","Protein Coding","P63167","54","GC12P120469","1.53426897525787","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DYNLL1"
"DYNC1I2","Dynein Cytoplasmic 1 Intermediate Chain 2","Protein Coding","Q13409","53","GC02P171687","1.53426897525787","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DYNC1I2"
"TUBA3E","Tubulin Alpha 3e","Protein Coding","Q6PEY2","51","GC02M130191","1.53426897525787","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TUBA3E"
"DYNC1I1","Dynein Cytoplasmic 1 Intermediate Chain 1","Protein Coding","O14576","50","GC07P095772","1.53426897525787","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DYNC1I1"
"DYNLL2","Dynein Light Chain LC8-Type 2","Protein Coding","Q96FJ2","50","GC17P058083","1.53426897525787","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DYNLL2"
"TUBA3C","Tubulin Alpha 3c","Protein Coding","P0DPH7","49","GC13M019173","1.53426897525787","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TUBA3C"
"TUBAL3","Tubulin Alpha Like 3","Protein Coding","A6NHL2","49","GC10M005743","1.53426897525787","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TUBAL3"
"TUBB8","Tubulin Beta 8 Class VIII","Protein Coding","Q3ZCM7","49","GC10M000048","1.53426897525787","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TUBB8"
"DYNC1LI1","Dynein Cytoplasmic 1 Light Intermediate Chain 1","Protein Coding","Q9Y6G9","47","GC03M032543","1.53426897525787","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DYNC1LI1"
"DYNC1LI2","Dynein Cytoplasmic 1 Light Intermediate Chain 2","Protein Coding","O43237","47","GC16M067872","1.53426897525787","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DYNC1LI2"
"ZFYVE1","Zinc Finger FYVE-Type Containing 1","Protein Coding","Q9HBF4","47","GC14M072969","1.53426897525787","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZFYVE1"
"TUBA3D","Tubulin Alpha 3d","Protein Coding","P0DPH8","46","GC02P157677","1.53426897525787","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TUBA3D"
"TUBA4B","Tubulin Alpha 4b","Protein Coding","Q9H853","38","GC02P219253","1.53426897525787","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TUBA4B"
"TUBB8B","Tubulin Beta 8B","Protein Coding","A6NNZ2","20","GC18M000198","1.53426897525787","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TUBB8B"
"BECN2","Beclin 2","Protein Coding","A8MW95","39","GC01P241957","1.5340439081192","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BECN2"
"BAX","BCL2 Associated X, Apoptosis Regulator","Protein Coding","Q07812","63","GC19P048954","1.53198945522308","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BAX"
"CDKN1A","Cyclin Dependent Kinase Inhibitor 1A","Protein Coding","P38936","63","GC06P190835","1.53198945522308","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDKN1A"
"CASP9","Caspase 9","Protein Coding","P55211","61","GC01M036228","1.53198945522308","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CASP9"
"IRGM","Immunity Related GTPase M","Protein Coding","A1A4Y4","44","GC05P150846","1.49641895294189","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IRGM"
"GBA1","Glucosylceramidase Beta 1","Protein Coding","P04062","62","GC01M168646","1.39679205417633","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GBA1"
"FBXL4","F-Box And Leucine Rich Repeat Protein 4","Protein Coding","Q9UKA2","50","GC06M098868","1.39679205417633","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FBXL4"
"MAPK1","Mitogen-Activated Protein Kinase 1","Protein Coding","P28482","66","GC22M021759","1.36738061904907","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAPK1"
"NFKB1","Nuclear Factor Kappa B Subunit 1","Protein Coding","P19838","66","GC04P102501","1.36738061904907","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NFKB1"
"CASP8","Caspase 8","Protein Coding","Q14790","65","GC02P201233","1.36738061904907","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CASP8"
"PARP1","Poly(ADP-Ribose) Polymerase 1","Protein Coding","P09874","65","GC01M226360","1.36738061904907","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PARP1"
"FAS","Fas Cell Surface Death Receptor","Protein Coding","P25445","63","GC10P128620","1.36738061904907","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FAS"
"TNF","Tumor Necrosis Factor","Protein Coding","P01375","63","GC06P190708","1.36738061904907","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNF"
"CASP3","Caspase 3","Protein Coding","P42574","62","GC04M184627","1.36738061904907","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CASP3"
"CYCS","Cytochrome C, Somatic","Protein Coding","P99999","60","GC07M025118","1.36738061904907","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYCS"
"CFLAR","CASP8 And FADD Like Apoptosis Regulator","Protein Coding","O15519","57","GC02P204999","1.36738061904907","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CFLAR"
"RAF1","Raf-1 Proto-Oncogene, Serine/Threonine Kinase","Protein Coding","P04049","67","GC03M012583","1.36589670181274","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAF1"
"INSR","Insulin Receptor","Protein Coding","P06213","66","GC19M007112","1.36589670181274","https://www.genecards.org/cgi-bin/carddisp.pl?gene=INSR"
"KRAS","KRAS Proto-Oncogene, GTPase","Protein Coding","P01116","66","GC12M037206","1.36589670181274","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KRAS"
"HRAS","HRas Proto-Oncogene, GTPase","Protein Coding","P01112","65","GC11M015781","1.36589670181274","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HRAS"
"PTEN","Phosphatase And Tensin Homolog","Protein Coding","P60484","65","GC10P128607","1.36589670181274","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTEN"
"LMNA","Lamin A/C","Protein Coding","P02545","63","GC01P156082","1.36589670181274","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LMNA"
"XIAP","X-Linked Inhibitor Of Apoptosis","Protein Coding","P98170","63","GC0XP123859","1.36589670181274","https://www.genecards.org/cgi-bin/carddisp.pl?gene=XIAP"
"YWHAE","Tyrosine 3-Monooxygenase/Tryptophan 5-Monooxygenase Activation Protein Epsilon","Protein Coding","P62258","63","GC17M099664","1.36589670181274","https://www.genecards.org/cgi-bin/carddisp.pl?gene=YWHAE"
"CDKN1B","Cyclin Dependent Kinase Inhibitor 1B","Protein Coding","P46527","61","GC12P080490","1.36589670181274","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDKN1B"
"TSC1","TSC Complex Subunit 1","Protein Coding","Q92574","61","GC09M132891","1.36589670181274","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TSC1"
"YWHAZ","Tyrosine 3-Monooxygenase/Tryptophan 5-Monooxygenase Activation Protein Zeta","Protein Coding","P63104","61","GC08M100991","1.36589670181274","https://www.genecards.org/cgi-bin/carddisp.pl?gene=YWHAZ"
"YWHAB","Tyrosine 3-Monooxygenase/Tryptophan 5-Monooxygenase Activation Protein Beta","Protein Coding","P31946","60","GC20P044885","1.36589670181274","https://www.genecards.org/cgi-bin/carddisp.pl?gene=YWHAB"
"YWHAG","Tyrosine 3-Monooxygenase/Tryptophan 5-Monooxygenase Activation Protein Gamma","Protein Coding","P61981","60","GC07M082147","1.36589670181274","https://www.genecards.org/cgi-bin/carddisp.pl?gene=YWHAG"
"YWHAQ","Tyrosine 3-Monooxygenase/Tryptophan 5-Monooxygenase Activation Protein Theta","Protein Coding","P27348","60","GC02M009583","1.36589670181274","https://www.genecards.org/cgi-bin/carddisp.pl?gene=YWHAQ"
"YWHAH","Tyrosine 3-Monooxygenase/Tryptophan 5-Monooxygenase Activation Protein Eta","Protein Coding","Q04917","59","GC22P031944","1.36589670181274","https://www.genecards.org/cgi-bin/carddisp.pl?gene=YWHAH"
"BCL2L11","BCL2 Like 11","Protein Coding","O43521","58","GC02P111119","1.36589670181274","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BCL2L11"
"BCAP31","B Cell Receptor Associated Protein 31","Protein Coding","P51572","53","GC0XM153701","1.36589670181274","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BCAP31"
"FBXO7","F-Box Protein 7","Protein Coding","Q9Y3I1","55","GC22P032474","1.33865833282471","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FBXO7"
"MAP1LC3B2","Microtubule Associated Protein 1 Light Chain 3 Beta 2","Protein Coding","A6NCE7","40","GC12P116596","1.33865833282471","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAP1LC3B2"
"TLR9","Toll Like Receptor 9","Protein Coding","Q9NR96","59","GC03M055157","1.30024397373199","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TLR9"
"LRRK2","Leucine Rich Repeat Kinase 2","Protein Coding","Q5S007","62","GC12P040196","1.26069831848145","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LRRK2"
"ATP13A2","ATPase Cation Transporting 13A2","Protein Coding","Q9NQ11","56","GC01M016985","1.25711572170258","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATP13A2"
"ATG2A","Autophagy Related 2A","Protein Coding","Q2TAZ0","48","GC11M142944","1.25711572170258","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATG2A"
"BRAF","B-Raf Proto-Oncogene, Serine/Threonine Kinase","Protein Coding","P15056","67","GC07M140798","1.20128798484802","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BRAF"
"PTPN11","Protein Tyrosine Phosphatase Non-Receptor Type 11","Protein Coding","Q06124","67","GC12P112418","1.20128798484802","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTPN11"
"EPHB4","EPH Receptor B4","Protein Coding","P54760","66","GC07M107079","1.20128798484802","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EPHB4"
"IKBKB","Inhibitor Of Nuclear Factor Kappa B Kinase Subunit Beta","Protein Coding","O14920","66","GC08P042271","1.20128798484802","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IKBKB"
"JAK2","Janus Kinase 2","Protein Coding","O60674","66","GC09P004985","1.20128798484802","https://www.genecards.org/cgi-bin/carddisp.pl?gene=JAK2"
"NOTCH1","Notch Receptor 1","Protein Coding","P46531","66","GC09M139438","1.20128798484802","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NOTCH1"
"SMAD3","SMAD Family Member 3","Protein Coding","P84022","66","GC15P067063","1.20128798484802","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SMAD3"
"CSF1R","Colony Stimulating Factor 1 Receptor","Protein Coding","P07333","65","GC05M150053","1.20128798484802","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CSF1R"
"CTSD","Cathepsin D","Protein Coding","P07339","65","GC11M001752","1.20128798484802","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CTSD"
"EPHA2","EPH Receptor A2","Protein Coding","P29317","65","GC01M016124","1.20128798484802","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EPHA2"
"EPHB2","EPH Receptor B2","Protein Coding","P29323","65","GC01P022710","1.20128798484802","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EPHB2"
"ITGB3","Integrin Subunit Beta 3","Protein Coding","P05106","65","GC17P165432","1.20128798484802","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ITGB3"
"MAPK14","Mitogen-Activated Protein Kinase 14","Protein Coding","Q16539","65","GC06P190827","1.20128798484802","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAPK14"
"MYC","MYC Proto-Oncogene, BHLH Transcription Factor","Protein Coding","P01106","65","GC08P127735","1.20128798484802","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MYC"
"PIK3R1","Phosphoinositide-3-Kinase Regulatory Subunit 1","Protein Coding","P27986","65","GC05P068215","1.20128798484802","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PIK3R1"
"MMP14","Matrix Metallopeptidase 14","Protein Coding","P50281","64","GC14P060441","1.20128798484802","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MMP14"
"NFE2L2","NFE2 Like BZIP Transcription Factor 2","Protein Coding","Q16236","64","GC02M177227","1.20128798484802","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NFE2L2"
"PLAU","Plasminogen Activator, Urokinase","Protein Coding","P00749","64","GC10P073909","1.20128798484802","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLAU"
"AIFM1","Apoptosis Inducing Factor Mitochondria Associated 1","Protein Coding","O95831","63","GC0XM130129","1.20128798484802","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AIFM1"
"BMPR2","Bone Morphogenetic Protein Receptor Type 2","Protein Coding","Q13873","63","GC02P202376","1.20128798484802","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BMPR2"
"CTSB","Cathepsin B","Protein Coding","P07858","63","GC08M011842","1.20128798484802","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CTSB"
"EPHA4","EPH Receptor A4","Protein Coding","P54764","63","GC02M221418","1.20128798484802","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EPHA4"
"FN1","Fibronectin 1","Protein Coding","P02751","63","GC02M215360","1.20128798484802","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FN1"
"IL2RA","Interleukin 2 Receptor Subunit Alpha","Protein Coding","P01589","63","GC10M006010","1.20128798484802","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL2RA"
"ITGA2B","Integrin Subunit Alpha 2b","Protein Coding","P08514","63","GC17M101067","1.20128798484802","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ITGA2B"
"ITGB1","Integrin Subunit Beta 1","Protein Coding","P05556","63","GC10M037521","1.20128798484802","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ITGB1"
"ITGB2","Integrin Subunit Beta 2","Protein Coding","P05107","63","GC21M044885","1.20128798484802","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ITGB2"
"JUN","Jun Proto-Oncogene, AP-1 Transcription Factor Subunit","Protein Coding","P05412","63","GC01M058780","1.20128798484802","https://www.genecards.org/cgi-bin/carddisp.pl?gene=JUN"
"MAPK8","Mitogen-Activated Protein Kinase 8","Protein Coding","P45983","63","GC10P048306","1.20128798484802","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAPK8"
"PCNA","Proliferating Cell Nuclear Antigen","Protein Coding","P12004","63","GC20M005114","1.20128798484802","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PCNA"
"RIPK1","Receptor Interacting Serine/Threonine Kinase 1","Protein Coding","Q13546","63","GC06P010244","1.20128798484802","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RIPK1"
"SERPINE1","Serpin Family E Member 1","Protein Coding","P05121","63","GC07P101127","1.20128798484802","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SERPINE1"
"WNT5A","Wnt Family Member 5A","Protein Coding","P41221","63","GC03M055465","1.20128798484802","https://www.genecards.org/cgi-bin/carddisp.pl?gene=WNT5A"
"BMP4","Bone Morphogenetic Protein 4","Protein Coding","P12644","62","GC14M053949","1.20128798484802","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BMP4"
"CASP1","Caspase 1","Protein Coding","P29466","62","GC11M105025","1.20128798484802","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CASP1"
"CASP7","Caspase 7","Protein Coding","P55210","62","GC10P113679","1.20128798484802","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CASP7"
"CD40LG","CD40 Ligand","Protein Coding","P29965","62","GC0XP136649","1.20128798484802","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD40LG"
"CD44","CD44 Molecule (IN Blood Group)","Protein Coding","P16070","62","GC11P035139","1.20128798484802","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD44"
"COL1A1","Collagen Type I Alpha 1 Chain","Protein Coding","P02452","62","GC17M101332","1.20128798484802","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COL1A1"
"FZD4","Frizzled Class Receptor 4","Protein Coding","Q9ULV1","62","GC11M086945","1.20128798484802","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FZD4"
"IL2RB","Interleukin 2 Receptor Subunit Beta","Protein Coding","P14784","62","GC22M088419","1.20128798484802","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL2RB"
"ITGA4","Integrin Subunit Alpha 4","Protein Coding","P13612","62","GC02P181501","1.20128798484802","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ITGA4"
"ITGA6","Integrin Subunit Alpha 6","Protein Coding","P23229","62","GC02P172245","1.20128798484802","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ITGA6"
"ITGAM","Integrin Subunit Alpha M","Protein Coding","P11215","62","GC16P128976","1.20128798484802","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ITGAM"
"LRP5","LDL Receptor Related Protein 5","Protein Coding","O75197","62","GC11P068298","1.20128798484802","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LRP5"
"MAP2K3","Mitogen-Activated Protein Kinase Kinase 3","Protein Coding","P46734","62","GC17P164580","1.20128798484802","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAP2K3"
"MAP3K5","Mitogen-Activated Protein Kinase Kinase Kinase 5","Protein Coding","Q99683","62","GC06M136557","1.20128798484802","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAP3K5"
